"band";"importance";"glass"
"G614";0,14615578460637;"Glass"
"G1203";0,146029971939816;"Glass"
"G1325";0,145598066576993;"Glass"
"G2023";0,145482169205513;"Glass"
"B1776";0,145345879385547;"Brown"
"G1762";0,145314490220772;"Glass"
"B1093";0,145312488050051;"Brown"
"B1283";0,145251860229191;"Brown"
"B1231";0,145042964238786;"Brown"
"B635";0,144984217675145;"Brown"
"G1736";0,144957947456039;"Glass"
"G1571";0,144945983091478;"Glass"
"G1390";0,144904756360368;"Glass"
"G1645";0,144876976244441;"Glass"
"B770";0,144842932822271;"Brown"
"B1311";0,144638127635183;"Brown"
"B1783";0,144147145200078;"Brown"
"G1113";0,143965597506258;"Glass"
"G897";0,143938841434196;"Glass"
"B811";0,143931297899372;"Brown"
"G1248";0,143924050380574;"Glass"
"B1583";0,143778880789013;"Brown"
"G1544";0,143690984433243;"Glass"
"B1169";0,143655885306869;"Brown"
"G1089";0,143523998716568;"Glass"
"G1504";0,143040686607237;"Glass"
"B1336";0,142874580187336;"Brown"
"B1986";0,142639826839827;"Brown"
"B1250";0,142631856372255;"Brown"
"G1015";0,142475701475335;"Glass"
"G1227";0,142314501094531;"Glass"
"G1836";0,142210326245253;"Glass"
"B1818";0,141992181861147;"Brown"
"G1774";0,141944887426273;"Glass"
"G809";0,141750343547773;"Glass"
"B961";0,141287867687868;"Brown"
"G1539";0,140925460484172;"Glass"
"B1775";0,140620192178987;"Brown"
"G1960";0,140615418454171;"Glass"
"B1080";0,140608402602682;"Brown"
"G2017";0,139861096995178;"Glass"
"B1921";0,139724084580413;"Brown"
"G1575";0,139580102689064;"Glass"
"B1572";0,139429607559442;"Brown"
"B1158";0,13941335512857;"Brown"
"G2045";0,139127559203304;"Glass"
"B1360";0,139096946177761;"Brown"
"G1589";0,138782890091734;"Glass"
"G816";0,138778805543511;"Glass"
"B1853";0,138629864644884;"Brown"
"G1168";0,138327221205666;"Glass"
"G1583";0,138286477284416;"Glass"
"B541";0,138279508677213;"Brown"
"B1631";0,138225365004353;"Brown"
